url;high;high%;medium;medium%;low;low%
Alles-vegetarisch.de;15;7.4 %;6;3.3 %;7;4.5 %
Amazon Fresh;88;43.6 %;65;35.5 %;65;41.7 %
BoFrost;34;16.8 %;23;12.6 %;22;14.1 %
bringmeister.de;19;9.4 %;18;9.8 %;7;4.5 %
Edeka24;38;18.8 %;26;14.2 %;21;13.5 %
Eismann;17;16.3 %;9;8.8 %;5;5.7 %
food.de;19;9.4 %;15;8.2 %;14;9.0 %
Gourmondo;18;8.9 %;9;4.9 %;12;7.7 %
HelloFresh;50;24.8 %;31;16.9 %;24;15.4 %
Kochhaus;10;5.0 %;9;4.9 %;8;5.1 %
Lebensmittel.de;18;8.9 %;15;8.2 %;12;7.7 %
Marley Spoon;13;6.4 %;10;5.5 %;9;5.8 %
MyTime.de;15;7.4 %;10;5.5 %;15;9.6 %
Rewe Lieferservice;55;27.2 %;55;30.1 %;28;17.9 %
Allianz;18;16.1 %;9;11.0 %;5;12.8 %
ARAG;1;0.9 %;2;2.4 %;0;0.0 %
AXA;11;9.8 %;6;7.3 %;0;0.0 %
CosmosDirekt;4;3.6 %;2;2.4 %;2;5.1 %
Debeka;6;5.4 %;2;2.4 %;0;0.0 %
DEVK;8;7.1 %;4;4.9 %;2;5.1 %
Ergo;3;2.7 %;0;0.0 %;2;5.1 %
Generali;3;2.7 %;6;7.3 %;3;7.7 %
HDI;1;0.9 %;1;1.2 %;0;0.0 %
Huk24;8;7.1 %;5;6.1 %;3;7.7 %
Provinzial;7;6.3 %;3;3.7 %;1;2.6 %
R+V;7;6.3 %;6;7.3 %;6;15.4 %
SV SparkassenVersicherung;5;4.5 %;7;8.5 %;3;7.7 %
W�rttembergische;3;2.7 %;0;0.0 %;2;5.1 %
billigflieger.de;11;4.8 %;8;4.5 %;9;9.7 %
Booking.com;33;28.2 %;17;21.5 %;14;25.9 %
Expedia;38;16.7 %;37;20.7 %;16;17.2 %
fluege.de;46;20.2 %;25;14.0 %;15;16.1 %
idealo;11;4.8 %;6;3.4 %;6;6.5 %
Kayak;5;4.3 %;3;3.8 %;3;5.6 %
kiwi;3;1.3 %;3;1.7 %;0;0.0 %
lastminute;11;4.8 %;5;2.8 %;2;2.2 %
Opodo;22;9.6 %;18;10.1 %;14;15.1 %
Skyscanner;13;11.1 %;13;16.5 %;7;13.0 %
swoodoo;13;5.7 %;12;6.7 %;3;3.2 %
TripAdvisor;13;5.7 %;13;7.3 %;5;5.4 %
ADTicket;13;6.2 %;8;4.3 %;7;6.5 %
Eventim;157;74.8 %;131;71.2 %;67;62.6 %
konzertkasse.de;10;4.8 %;6;3.3 %;6;5.6 %
reservix;24;11.4 %;14;7.6 %;10;9.3 %
StubHub;9;4.3 %;4;2.2 %;0;0.0 %
Ticket online;28;13.3 %;31;16.8 %;10;9.3 %
Ticketmaster;46;21.9 %;31;16.8 %;16;15.0 %
Tickets.de;13;6.2 %;15;8.2 %;10;9.3 %
Viagogo;14;6.7 %;9;4.9 %;1;0.9 %
Apetito;5;2.2 %;3;1.3 %;2;1.1 %
Deliveroo;10;9.3 %;7;6.6 %;1;1.3 %
Domino's;25;21.4 %;25;19.2 %;22;21.2 %
Fittaste;1;0.4 %;3;1.3 %;2;1.1 %
Foodora;7;6.5 %;8;7.5 %;4;5.3 %
Landhaus K�che;5;2.2 %;3;1.3 %;1;0.6 %
Lieferando;169;75.4 %;185;78.4 %;149;82.8 %
Lieferheld;87;38.8 %;86;36.4 %;55;30.6 %
McDelivery;8;3.6 %;15;6.4 %;10;5.6 %
Meyer Men�;4;1.8 %;5;2.1 %;1;0.6 %
smunch.co;0;0.0 %;2;1.5 %;0;0.0 %
Vapiano;15;6.7 %;12;5.1 %;5;2.8 %
Badoo;3;21.4 %;5;21.7 %;9;45.0 %
Bumble;1;7.1 %;3;13.0 %;1;5.0 %
C-date;4;28.6 %;4;17.4 %;2;10.0 %
Coffee meets Bagel;2;14.3 %;3;13.0 %;0;0.0 %
eDarling;3;21.4 %;4;17.4 %;1;5.0 %
ElitePartner;4;28.6 %;7;30.4 %;2;10.0 %
Grindr;0;0.0 %;1;9.1 %;0;0.0 %
Happn;4;28.6 %;2;8.7 %;0;0.0 %
Jaumo;2;14.3 %;3;13.0 %;2;10.0 %
JOYclub;3;21.4 %;1;4.3 %;0;0.0 %
LoveScout24;5;35.7 %;4;17.4 %;2;10.0 %
Lovoo;3;21.4 %;5;21.7 %;6;30.0 %
NEU.DE;2;14.3 %;5;21.7 %;1;5.0 %
Parship;3;21.4 %;3;13.0 %;6;30.0 %
Tinder;3;21.4 %;7;30.4 %;1;5.0 %
Zoosk;1;7.1 %;3;13.0 %;0;0.0 %
Burger King;569;21.7 %;579;20.4 %;429;16.1 %
Dunkin' Donuts;68;2.6 %;57;2.0 %;42;1.6 %
KFC;301;11.5 %;260;9.1 %;204;7.7 %
McDonald's;775;29.5 %;774;27.2 %;625;23.5 %
None;124;4.7 %;116;4.1 %;177;6.7 %
Pizza Hut;230;8.8 %;222;7.8 %;148;5.6 %
Quick food;0;0.0 %;0;0.0 %;1;0.0 %
Subway;401;15.3 %;368;12.9 %;283;10.7 %
TGI Friday's;12;0.5 %;9;0.3 %;5;0.2 %
Amazon;198;64.5 %;158;62.5 %;116;63.4 %
B�hnert;5;1.6 %;6;2.4 %;8;4.4 %
booklooker;19;6.2 %;20;7.9 %;11;6.0 %
buecher.de;35;11.4 %;26;10.3 %;22;12.0 %
Hugendubel;64;20.8 %;42;16.6 %;26;14.2 %
Mayersche;31;10.1 %;17;6.7 %;12;6.6 %
P&B (Press and Books);11;3.6 %;13;5.1 %;5;2.7 %
Relay;6;2.0 %;6;2.4 %;2;1.1 %
Schmitt & Hahn;7;2.3 %;4;1.6 %;7;3.8 %
Thalia;129;42.0 %;103;40.7 %;54;29.5 %
Weltbild;40;13.0 %;38;15.0 %;36;19.7 %
B.Z.;3;2.0 %;5;3.8 %;6;6.5 %
Bild;71;24.1 %;70;28.0 %;33;19.9 %
die tageszeitung (taz);18;6.1 %;19;7.6 %;13;7.8 %
Die Welt;38;12.9 %;27;10.8 %;23;13.9 %
Die Zeit;34;11.5 %;23;9.2 %;17;10.2 %
Frankfurter Allgemeine Zeitung (FAZ);47;15.9 %;21;8.4 %;13;7.8 %
Frankfurter Rundschau;13;4.4 %;4;1.6 %;9;5.4 %
Hamburger Morgenpost;12;4.1 %;12;4.8 %;9;5.4 %
Handelsblatt;35;11.9 %;12;4.8 %;4;2.4 %
K�lner Express;6;2.0 %;8;3.2 %;6;3.6 %
Neues Deutschland;7;2.4 %;3;1.2 %;4;2.4 %
Rheinische Post;4;2.7 %;5;3.8 %;3;3.3 %
Saechsische Zeitung;7;4.7 %;5;3.8 %;5;5.4 %
Sueddeutsche Zeitung;57;19.3 %;28;11.2 %;13;7.8 %
Westdeutsche Allgemeine Zeitung;21;7.1 %;13;5.2 %;8;4.8 %
Bild am Sonntag;54;16.2 %;48;17.5 %;30;14.8 %
Bild der Frau;32;9.6 %;44;16.0 %;16;7.9 %
Brigitte;15;8.8 %;23;16.2 %;11;10.2 %
Bunte;28;8.4 %;32;11.6 %;14;6.9 %
Cosmopolitan;12;7.0 %;12;8.5 %;6;5.6 %
Das neue Blatt;12;3.6 %;17;6.2 %;12;5.9 %
Der Spiegel;106;31.7 %;75;27.3 %;35;17.2 %
Die Zeit;41;12.3 %;33;12.0 %;21;10.3 %
Focus;91;27.2 %;72;26.2 %;27;13.3 %
Frankfurter Allgemeine Sonntagszeitung;35;10.5 %;9;3.3 %;7;3.4 %
Freizeit Revue;13;3.9 %;12;4.4 %;11;5.4 %
Gala;29;8.7 %;18;6.5 %;13;6.4 %
kicker;20;11.7 %;11;7.7 %;6;5.6 %
Stern;65;19.5 %;61;22.2 %;27;13.3 %
Superillu;13;3.9 %;18;6.5 %;11;5.4 %
Amazon;100;70.9 %;76;63.9 %;39;57.4 %
Apple iBooks;12;8.5 %;7;5.9 %;13;19.1 %
Beam;5;3.5 %;3;2.5 %;9;13.2 %
B�cher.de;12;8.5 %;14;11.8 %;8;11.8 %
ebook.de;23;16.3 %;7;5.9 %;14;20.6 %
Google Play Store;16;11.3 %;13;10.9 %;12;17.6 %
Hugendubel;21;14.9 %;12;10.1 %;10;14.7 %
RakutenKobo;3;2.1 %;4;3.4 %;3;4.4 %
Thalia;29;20.6 %;30;25.2 %;18;26.5 %
Weltbild;18;12.8 %;16;13.4 %;14;20.6 %
bild.de;26;32.1 %;10;18.9 %;12;44.4 %
express.de;10;12.3 %;4;7.5 %;6;22.2 %
faz.net;16;19.8 %;9;17.0 %;3;11.1 %
fr-online.de;5;6.2 %;6;11.3 %;4;14.8 %
handelsblatt.com;23;28.4 %;8;15.1 %;4;14.8 %
mopo.de;9;11.1 %;8;15.1 %;4;14.8 %
rp-online.de;5;10.4 %;4;11.4 %;1;4.3 %
sueddeutsche.de;19;23.5 %;10;18.9 %;6;22.2 %
taz.de;8;9.9 %;5;9.4 %;4;14.8 %
waz.de;8;9.9 %;4;7.5 %;3;11.1 %
welt.de;20;24.7 %;8;15.1 %;9;33.3 %
zeit.de;12;14.8 %;7;13.2 %;5;18.5 %
bild.de;0;0.0 %;0;0.0 %;0;0.0 %
faz.net;0;0.0 %;0;0.0 %;0;0.0 %
focus.de;15;27.8 %;6;19.4 %;9;34.6 %
handelsblatt.com;0;0.0 %;0;0.0 %;0;0.0 %
instyle-abo.de;4;7.4 %;5;16.1 %;1;3.8 %
psychologieheute.de;10;18.5 %;4;12.9 %;4;15.4 %
spiegel.de;20;37.0 %;14;45.2 %;9;34.6 %
sueddeutsche.de;0;0.0 %;0;0.0 %;0;0.0 %
welt.de;0;0.0 %;0;0.0 %;0;0.0 %
wiwo.de;6;11.1 %;3;9.7 %;2;7.7 %
zeit.de;10;18.5 %;7;22.6 %;6;23.1 %
1&1;13;4.4 %;12;4.7 %;15;8.9 %
Pyur (Tele Columbus);7;2.4 %;6;2.3 %;8;4.8 %
Sky;100;33.9 %;58;22.6 %;37;22.0 %
Telekom;62;21.0 %;55;21.4 %;24;14.3 %
Unitymedia/Easy;32;10.8 %;34;13.2 %;17;10.1 %
Vodafone Kabel Deutschland GmbH;54;18.3 %;67;26.1 %;48;28.6 %
Amazon Prime Video;244;68.0 %;210;70.9 %;139;67.5 %
Apple TV+;19;10.2 %;5;3.4 %;9;7.8 %
Chili;11;3.1 %;5;1.7 %;3;1.5 %
Google Play Store;40;11.1 %;47;15.9 %;30;14.6 %
iTunes;33;9.2 %;26;8.8 %;21;10.2 %
Maxdome;44;12.3 %;34;11.5 %;19;9.2 %
Microsoft Store;10;5.4 %;4;2.7 %;5;4.3 %
Netflix;233;64.9 %;208;70.3 %;136;66.0 %
Pantaflix;8;2.2 %;1;0.3 %;5;2.4 %
PlayStation Store;22;6.1 %;30;10.1 %;20;9.7 %
Sky Go;61;17.0 %;46;15.5 %;38;18.4 %
Telekom Entertain TV;32;8.9 %;24;8.1 %;10;4.9 %
Unitymedia;20;5.6 %;20;6.8 %;14;6.8 %
Videoload;7;1.9 %;7;2.4 %;6;2.9 %
YouTube;82;22.8 %;75;25.3 %;67;32.5 %
Amazon Music;128;47.4 %;102;47.0 %;62;41.3 %
Apple Music;38;14.1 %;30;13.8 %;21;14.0 %
Deezer;25;9.3 %;23;10.6 %;23;15.3 %
Google Play Store;27;10.0 %;33;15.2 %;23;15.3 %
iHeartRadio;0;0.0 %;0;0.0 %;0;0.0 %
iTunes;33;12.2 %;33;15.2 %;25;16.7 %
Juke;14;5.2 %;5;2.3 %;7;4.7 %
Napster;8;3.0 %;15;6.9 %;9;6.0 %
Pandora;0;0.0 %;0;0.0 %;0;0.0 %
Qobuz;5;1.9 %;2;0.9 %;4;2.7 %
SoundCloud;11;4.1 %;11;5.1 %;9;6.0 %
Spotify;141;52.2 %;98;45.2 %;68;45.3 %
Stitcher;0;0.0 %;0;0.0 %;0;0.0 %
Tidal;6;2.2 %;2;0.9 %;3;2.0 %
YouTube Music;30;11.1 %;37;17.1 %;32;21.3 %
alternate.de;7;3%;8;3%;4;1%
amazon;217;86%;274;89%;214;80%
apple.com;24;10%;12;4%;12;4%
bonprix.de;40;16%;59;19%;27;10%
conrad.de;25;19%;21;7%;19;7%
cyberport.de;8;3%;11;4%;3;1%
docmorris.de;38;15%;36;12%;16;6%
hm.com;32;13%;37;12%;30;11%
lidl.de;48;19%;43;14%;37;14%
mediamarkt.de;52;21%;56;18%;36;13%
notebooksbilliger.de;17;7%;15;5%;8;3%
otto.de;55;22%;91;30%;62;23%
saturn.de;37;15%;31;10%;29;11%
tchibo.de;34;14%;50;16%;21;8%
zalando.de;69;27%;70;23%;46;17%